STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Florida,Miami-Dade County,2496435,2716940,30789,21689
Florida,Monroe County,73090,74228,685,736
Florida,Nassau County,73314,88625,858,979
Florida,Okaloosa County,180822,210738,2692,1940
Florida,Okeechobee County,39996,42168,542,447
Florida,Orange County,1145956,1393452,16922,8890
Florida,Osceola County,268685,375751,4498,2465
Florida,Palm Beach County,1320134,1496770,14947,15460
Florida,Pasco County,464697,553947,5186,6466
Florida,Pinellas County,916542,974996,8104,12833
Florida,Polk County,602095,724777,8043,7237
Florida,Putnam County,74364,74521,826,1033
Florida,St. Johns County,190039,264672,2216,2105
Florida,St. Lucie County,277789,328297,3082,3501
Florida,Santa Rosa County,151372,184313,1971,1692
Florida,Sarasota County,379448,433742,2835,6127
Florida,Seminole County,422718,471826,4714,3672
Florida,Sumter County,93420,132420,478,2017
Florida,Suwannee County,41551,44417,444,561
Florida,Taylor County,22570,21569,216,258
Florida,Union County,15535,15237,149,224
Florida,Volusia County,494593,553284,4933,7178
Florida,Wakulla County,30776,33739,329,276
Florida,Walton County,55043,74071,780,718
Florida,Washington County,24896,25473,257,305
Georgia,Georgia,9687653,10617423,127873,86319
Georgia,Appling County,18236,18386,225,213
Georgia,Atkinson County,8375,8165,122,61
Georgia,Bacon County,11096,11164,158,108
Georgia,Baker County,3451,3038,30,22
Georgia,Baldwin County,45720,44890,411,480
Georgia,Banks County,18395,19234,219,158
Georgia,Barrow County,69367,83240,1062,659
Georgia,Bartow County,100157,107738,1268,982
Georgia,Ben Hill County,17634,16700,197,225
Georgia,Berrien County,19286,19397,236,237
Georgia,Bibb County,155547,153159,2074,1745
Georgia,Bleckley County,13063,12873,129,110
Georgia,Brantley County,18411,19109,221,216
Georgia,Brooks County,16243,15457,149,199
Georgia,Bryan County,30233,39627,541,258
Georgia,Bulloch County,70217,79608,890,561
Georgia,Burke County,23316,22383,290,247
Georgia,Butts County,23655,24936,291,278
Georgia,Calhoun County,6694,6189,53,49
Georgia,Camden County,50513,54666,768,372
Georgia,Candler County,10998,10803,130,125
Georgia,Carroll County,110527,119992,1535,1093
Georgia,Catoosa County,63942,67580,674,676
Georgia,Charlton County,12171,13392,109,107
Georgia,Chatham County,265128,289430,3549,2570
Georgia,Chattahoochee County,11267,10907,239,24
Georgia,Chattooga County,26015,24789,299,310
Georgia,Cherokee County,214346,258773,2721,1656
Georgia,Clarke County,116714,128331,1339,806
Georgia,Clay County,3183,2834,22,35
Georgia,Clayton County,259424,292256,4074,1852
Georgia,Clinch County,6798,6618,83,57
Georgia,Cobb County,688078,760141,9155,4719
Georgia,Coffee County,42356,43273,592,411
Georgia,Colquitt County,45498,45600,605,471
Georgia,Columbia County,124053,156714,1770,1035
Georgia,Cook County,17212,17270,205,203
Georgia,Coweta County,127317,148509,1680,1096
Georgia,Crawford County,12630,12404,91,133
Georgia,Crisp County,23439,22372,256,289
Georgia,Dade County,16633,16116,151,183
Georgia,Dawson County,22330,26108,271,239
Georgia,Decatur County,27842,26404,361,331
Georgia,DeKalb County,691893,759297,10825,5028
Georgia,Dodge County,21796,20605,215,240
Georgia,Dooly County,14918,13390,88,118
Georgia,Dougherty County,94565,87956,1255,951
Georgia,Douglas County,132403,146343,1720,1047
Georgia,Early County,11008,10190,128,142
Georgia,Echols County,4034,4006,26,12
Georgia,Effingham County,52250,64296,795,478
Georgia,Elbert County,20166,19194,206,266
Georgia,Emanuel County,22598,22646,295,274
Georgia,Evans County,11000,10654,127,128
Georgia,Fannin County,23682,26188,223,349
Georgia,Fayette County,106567,114421,875,897
Georgia,Floyd County,96317,98498,1133,1140
Georgia,Forsyth County,175511,244252,2435,1340
Georgia,Franklin County,22084,23349,287,300
Georgia,Fulton County,920581,1063937,12612,7418
Georgia,Gilmer County,28292,31369,313,367
Georgia,Glascock County,3082,2971,29,35
Georgia,Glynn County,79626,85292,916,923
Georgia,Gordon County,55186,57963,669,571
Georgia,Grady County,25011,24633,299,264
