,full_county_name
2776,"Jackson County, GA"
1118,"Jasper County, GA"
2079,"Jeff Davis County, GA"
1299,"Jefferson County, GA"
2222,"Jenkins County, GA"
1234,"Johnson County, GA"
1465,"Jones County, GA"
52,"Lamar County, GA"
2124,"Lanier County, GA"
2372,"Laurens County, GA"
3093,"Lee County, GA"
1751,"Liberty County, GA"
305,"Lincoln County, GA"
447,"Long County, GA"
2017,"Lowndes County, GA"
2841,"Lumpkin County, GA"
123,"Macon County, GA"
2400,"Madison County, GA"
1115,"Marion County, GA"
14,"McDuffie County, GA"
2936,"McIntosh County, GA"
662,"Meriwether County, GA"
2326,"Miller County, GA"
2652,"Mitchell County, GA"
2937,"Monroe County, GA"
2203,"Montgomery County, GA"
1417,"Morgan County, GA"
2115,"Murray County, GA"
930,"Muscogee County, GA"
2707,"Newton County, GA"
2311,"Oconee County, GA"
2164,"Oglethorpe County, GA"
515,"Paulding County, GA"
1297,"Peach County, GA"
175,"Pickens County, GA"
1540,"Pierce County, GA"
1549,"Pike County, GA"
144,"Polk County, GA"
1896,"Pulaski County, GA"
2569,"Putnam County, GA"
2133,"Quitman County, GA"
2286,"Rabun County, GA"
2054,"Randolph County, GA"
1632,"Richmond County, GA"
1759,"Rockdale County, GA"
1984,"Schley County, GA"
374,"Screven County, GA"
2517,"Seminole County, GA"
2823,"Spalding County, GA"
1571,"Stephens County, GA"
1550,"Stewart County, GA"
1063,"Sumter County, GA"
1213,"Talbot County, GA"
193,"Taliaferro County, GA"
2788,"Tattnall County, GA"
2191,"Taylor County, GA"
2321,"Telfair County, GA"
98,"Terrell County, GA"
2610,"Thomas County, GA"
746,"Tift County, GA"
277,"Toombs County, GA"
1830,"Towns County, GA"
880,"Treutlen County, GA"
1558,"Troup County, GA"
2021,"Turner County, GA"
1327,"Twiggs County, GA"
563,"Union County, GA"
442,"Upson County, GA"
2231,"Walker County, GA"
382,"Walton County, GA"
1911,"Ware County, GA"
2219,"Warren County, GA"
1266,"Washington County, GA"
1662,"Wayne County, GA"
1464,"Webster County, GA"
1441,"Wheeler County, GA"
1298,"White County, GA"
2809,"Whitfield County, GA"
1825,"Wilcox County, GA"
2792,"Wilkes County, GA"
644,"Wilkinson County, GA"
1537,"Worth County, GA"
2653,"Hawaii County, HI"
358,"Honolulu County, HI"
2018,"Kalawao County, HI"
2019,"Kauai County, HI"
2621,"Maui County, HI"
665,"Adair County, IA"
2523,"Adams County, IA"
3058,"Allamakee County, IA"
1211,"Appanoose County, IA"
1855,"Audubon County, IA"
797,"Benton County, IA"
564,"Black Hawk County, IA"
1920,"Boone County, IA"
2843,"Bremer County, IA"
2307,"Buchanan County, IA"
1055,"Buena Vista County, IA"
2235,"Butler County, IA"
392,"Calhoun County, IA"
182,"Carroll County, IA"
3117,"Cass County, IA"
172,"Cedar County, IA"
2415,"Cerro Gordo County, IA"
2080,"Cherokee County, IA"
704,"Chickasaw County, IA"
654,"Clarke County, IA"
2279,"Clay County, IA"
1029,"Clayton County, IA"
335,"Clinton County, IA"
2290,"Crawford County, IA"
1061,"Dallas County, IA"
1816,"Davis County, IA"
131,"Decatur County, IA"
1814,"Delaware County, IA"
2091,"Des Moines County, IA"
953,"Dickinson County, IA"
730,"Dubuque County, IA"
2256,"Emmet County, IA"
655,"Fayette County, IA"
1835,"Floyd County, IA"
2827,"Franklin County, IA"
2185,"Fremont County, IA"
2416,"Greene County, IA"
1636,"Grundy County, IA"
2958,"Guthrie County, IA"
2821,"Hamilton County, IA"
706,"Hancock County, IA"
1915,"Hardin County, IA"
257,"Harrison County, IA"
2507,"Henry County, IA"
303,"Howard County, IA"
2533,"Humboldt County, IA"
3109,"Ida County, IA"
2232,"Iowa County, IA"
920,"Jackson County, IA"
1947,"Jasper County, IA"
264,"Jefferson County, IA"
1382,"Johnson County, IA"
1869,"Jones County, IA"
1555,"Keokuk County, IA"
254,"Kossuth County, IA"
2182,"Lee County, IA"
928,"Linn County, IA"
2579,"Louisa County, IA"
2685,"Lucas County, IA"
2519,"Lyon County, IA"
275,"Madison County, IA"
1173,"Mahaska County, IA"
1081,"Marion County, IA"
1806,"Marshall County, IA"
